"row1","row2","ID1","ID2","Mismatch","SnpdBoth","LLR"
5968,12353,"Uts_15_0y_0673","Uts_17_2y_1783",0,167,24.9500378201354
4778,7406,"Uts_14_1y_0010","Uts_15_2y_0084",0,168,24.9465801665085
995,5221,"Uts_12_0y_388","Uts_14_2pp_154",0,168,24.9178635312441
15689,15773,"Uts_19_0y_1474","Uts_19_0y_1562",0,168,24.911024348869
4861,6863,"Uts_14_1y_0093","Uts_15_1y_0034",0,168,24.8806005989258
416,520,"Uts_16A_100","Uts_18A_001",0,163,24.8590967233089
9746,14629,"Uts_16_1y_0057","Uts_18_2-3y_2143",0,167,24.7833367887535
4775,7347,"Uts_14_1y_0007","Uts_15_2y_0025",0,166,24.6903819424019
8819,14521,"Uts_16_0y_1455","Uts_18_2-3y_0171",0,164,24.5623215890617
9749,12338,"Uts_16_1y_0060","Uts_17_2y_1303",0,164,24.3194386295563
7173,10055,"Uts_15_1y_0352","Uts_16_3y_0016",0,168,24.2707351651604
11812,11846,"Uts_17_1y_0559","Uts_17_1y_0600",0,167,24.2540507084804
10631,10719,"Uts_17_0y_0939","Uts_17_0y_1037",0,163,24.2060051854402
523,10072,"Uts_18A_004","Uts_16_3y_0033",0,167,24.200889137307
13548,16296,"Uts_18_0y_1619","Uts_19_1y_0057",0,163,24.1084437918654
4372,7249,"Uts_14_0y_1201","Uts_15_1y_0428",0,168,23.9320421696978
8572,11937,"Uts_16_0y_1205","Uts_17_1y_1148",0,168,23.8810839194729
16699,16731,"Uts_19_2-3y_0897","Uts_19_2-3y_1137",0,168,23.7466011560163
13960,16750,"Uts_18_1y_0802","Uts_19_2-3y_1429",0,167,23.5828104688614
14148,16699,"Uts_18_1y_1642","Uts_19_2-3y_0897",0,166,23.58276327394
14148,16731,"Uts_18_1y_1642","Uts_19_2-3y_1137",0,166,23.58276327394
12236,12258,"Uts_17_1y_2444","Uts_17_1y_2472",0,163,23.4655603259025
8034,14529,"Uts_16_0y_0625","Uts_18_2-3y_0181",0,161,23.4465728337349
13955,16624,"Uts_18_1y_0452","Uts_19_2-3y_0191",0,165,23.3898945776908
10295,16681,"Uts_17_0y_0278","Uts_19_2-3y_0663",0,168,23.3499490950855
12446,16317,"Uts_18_0y_0058","Uts_19_1y_0173",1,165,23.1604836105832
196,393,"Uts_14A_058","Uts_16A_075",1,167,23.0726724018749
459,2809,"Uts_17A_034","Uts_13_1y_0458",0,166,23.0590532306037
8110,12112,"Uts_16_0y_0702","Uts_17_1y_1774",1,166,22.9587770400141
218,405,"Uts_14A_084","Uts_16A_088",0,164,22.8853882431351
10757,16288,"Uts_17_0y_1089","Uts_19_1y_0048",1,163,20.4290566534897
