ID,run,proportion_NA
UTS_17_0y_1023,1,0.9545454545454546
UTS_17_1y_1183,1,0.625
UTS_17_0y_1363,1,1.0
UTS_17_0y_1412,1,0.9943181818181818
UTS_17_1y_1760,1,1.0
UTS_17_1y_1867,1,1.0
UTS_17_1y_1877,1,1.0
UTS_17_1y_1879,1,0.9715909090909091
UTS_17_1y_1911,1,0.6647727272727273
UTS_17_1y_1912,1,0.7102272727272727
UTS_17_1y_1933,1,0.6193181818181818
UTS_17_1y_1943,1,0.7784090909090909
UTS_17_1y_1951,1,1.0
UTS_17_0y_2256,1,0.625
UTS_17_0y_2519,1,1.0
UTS_17_0y_2520,1,1.0
UTS_17_0y_2521,1,1.0
UTS_17_0y_2522,1,1.0
UTS_17_0y_2523,1,1.0
UTS_17_0y_2524,1,1.0
UTS_17_0y_2525,1,1.0
UTS_17_1y_2878,1,1.0
UTS_17_0y_0083,1,0.6420454545454546
UTS_17_0y_0093,1,0.9829545454545454
UTS_17_0y_0157,1,0.9715909090909091
UTS_17_0y_0159,1,0.9090909090909091
UTS_17_0y_0161,1,0.6363636363636364
UTS_17_0y_0173,1,1.0
UTS_17_0y_0219,1,0.9431818181818182
UTS_17_0y_0220,1,0.7329545454545454
UTS_17_0y_0221,1,1.0
UTS_17_0y_0224,1,0.9943181818181818
UTS_17_0y_0229,1,0.7159090909090909
UTS_17_0y_0237,1,0.7045454545454546
UTS_17_0y_0238,1,0.9147727272727273
UTS_17_0y_0279,1,0.6761363636363636
UTS_17_0y_0375,1,1.0
UTS_17_0y_0416,1,0.6761363636363636
UTS_17_0y_0417,1,0.75
UTS_17_0y_0418,1,0.7613636363636364
UTS_17_1y_0597,1,0.9943181818181818
UTS_16A_116,1,0.9943181818181818
Uts_12A_016,1,0.9943181818181818
Uts_13A_020,1,1.0
Uts_13A_022,1,1.0
Uts_14A_107,1,0.8011363636363636
Uts_14A_007,1,1.0
Uts_14A_011,1,0.9545454545454546
Uts_14A_015,1,0.8181818181818182
Uts_14A_022,1,0.7102272727272727
Uts_14A_031,1,0.9488636363636364
Uts_14A_035,1,0.8295454545454546
Uts_14A_036,1,0.8011363636363636
Uts_14A_037,1,0.8238636363636364
Uts_14A_038,1,0.6534090909090909
Uts_14A_042,1,0.7670454545454546
Uts_14A_043,1,0.9261363636363636
Uts_14A_044,1,0.7897727272727273
Uts_14A_045,1,0.7840909090909091
Uts_14A_054,1,0.6193181818181818
Uts_14A_055,1,0.8465909090909091
Uts_14A_058,1,0.8465909090909091
Uts_14A_069,1,0.8238636363636364
Uts_14A_071,1,0.6590909090909091
Uts_14A_075,1,0.6818181818181818
Uts_14A_076,1,0.6647727272727273
Uts_14A_079,1,1.0
Uts_14A_083,1,0.875
Uts_14A_092,1,0.7215909090909091
Uts_14A_094,1,0.6079545454545454
Uts_14A_095,1,0.6590909090909091
UTS_16_0y_0135,3,0.8181818181818182
UTS_16_0y_0139,3,0.8977272727272727
UTS_16_0y_0179,3,1.0
UTS_16_0y_0251,3,0.8579545454545454
UTS_16_0y_0254,3,0.9829545454545454
UTS_16_0y_0259,3,1.0
UTS_16_0y_0294,3,0.8806818181818182
UTS_16_0y_0427,3,0.9147727272727273
UTS_16_0y_0428,3,0.8806818181818182
UTS_16_0y_0431,3,0.9034090909090909
UTS_16_0y_0432,3,0.875
UTS_16_0y_0434,3,0.7102272727272727
UTS_16_0y_0584,3,0.9715909090909091
UTS_16_0y_0585,3,0.9545454545454546
UTS_16_0y_0587,3,0.9375
UTS_16_0y_0738,3,0.7102272727272727
UTS_16_0y_0952,3,0.8068181818181818
UTS_16_0y_1033,3,1.0
UTS_16_0y_1045,3,0.8238636363636364
UTS_16_0y_1075,3,0.9772727272727273
UTS_16_0y_1076,3,0.9772727272727273
UTS_16_0y_1077,3,0.9829545454545454
UTS_16_0y_1078,3,0.9886363636363636
UTS_16_0y_1079,3,0.9829545454545454
UTS_16_0y_1080,3,0.9943181818181818
UTS_16_0y_1081,3,0.9886363636363636
UTS_16_0y_1082,3,0.9886363636363636
UTS_16_0y_1083,3,0.9886363636363636
UTS_16_0y_1084,3,0.9943181818181818
UTS_16_0y_1085,3,0.9829545454545454
Uts_13A_059,3,0.8806818181818182
Uts_13A_060,3,0.8011363636363636
UTS_16_0y_1677,3,1.0
UTS_16_0y_1685,3,1.0
UTS_16_0y_1693,3,1.0
UTS_16_0y_1698,3,1.0
UTS_16_0y_1701,3,1.0
UTS_16_0y_1708,3,1.0
UTS_16_0y_1716,3,1.0
UTS_16_0y_1724,3,1.0
UTS_16_0y_1732,3,1.0
UTS_16_0y_1746,3,1.0
UTS_16_0y_1754,3,1.0
UTS_16_0y_1762,3,1.0
UTS_16_0y_1783,3,0.8636363636363636
UTS_16_0y_1977,3,0.9318181818181818
UTS_16_0y_2028,3,0.9886363636363636
UTS_16_0y_2044,3,0.6818181818181818
Uts_13_0y_0299,3,1.0
UTS_16_1y_0080,3,1.0
UTS_16_1y_0150,3,0.9772727272727273
UTS_16_1y_0186,3,0.6818181818181818
UTS_16_1y_0285,3,0.9829545454545454
Uts_13_0y_0307,3,1.0
Uts_13_0y_0315,3,0.9943181818181818
Uts_13_0y_0316,3,0.9602272727272727
Uts_13_0y_0318,3,0.9545454545454546
Uts_13_0y_0339,3,0.9602272727272727
UTS_15_1y_0484,3,1.0
UTS_15_2y_0009,3,1.0
UTS_15A_063,3,1.0
UTS_16_0y_1425,3,0.9147727272727273
Uts_11_36,3,0.9943181818181818
