id,dam,sire,birth_year,gender
UTS_16A_026,gp*27,gp#27,1,male
Uts_11_12,gp*12,gp#178,1,male
UTS_16A_011,gp*12,gp#13,1,male
UTS_16A_009,gp*12,gp#9,1,male
UTS_16A_006,gp*9,gp#9,1,male
Uts_14A_108,gp*188,gp#103,1,female
Uts_13A_028,gp*106,gp#103,1,male
Uts_12A_009,gp*106,gp#103,1,male
Uts_12A_019,gp*106,gp#103,1,female
UTS_15A_023,gp*64,gp#161,1,male
UTS_15A_069,gp*64,gp#161,1,male
UTS_16A_079,gp*64,gp#10,1,male
UTS_16A_095,gp*64,gp#64,1,male
Uts_14A_106,gp*115,gp#101,1,male
UTS_15A_022,gp*115,gp#64,1,male
UTS_15A_036,gp*162,gp#101,1,male
Uts_12A_026,gp*87,gp#82,1,male
UTS_16A_117,gp*40,gp#76,1,male
UTS_16A_041,gp*40,gp#10,1,male
UTS_15A_009,gp*40,gp#10,1,male
UTS_17A_098,gp*40,gp#188,1,female
Uts_13A_013,gp*70,gp#94,1,male
UTS_16A_092,gp*70,gp#10,1,male
UTS_15A_061,gp*70,gp#10,1,male
Uts_13A_026,gp*104,gp#101,1,male
UTS_15A_043,gp*104,gp#10,1,male
UTS_15A_020,gp*104,gp#146,1,male
UTS_15A_031,gp*158,gp#10,1,male
UTS_15A_056,gp*158,gp#10,1,male
UTS_15A_042,gp*165,gp#82,1,male
UTS_16A_115,gp*10,gp#82,1,female
UTS_16A_007,gp*10,gp#10,1,male
Uts_14A_085,gp*10,gp#146,1,male
UTS_16A_015,gp*10,gp#17,1,male
Uts_13A_014,gp*99,gp#95,1,male
UTS_15A_082,gp*141,gp#95,1,male
Uts_13A_055,gp*141,gp#101,1,male
UTS_16A_043,gp*145,gp#153,1,female
Uts_13A_067,gp*145,gp#152,1,male
Uts_12A_021,gp*145,gp#167,1,female
UTS_16A_077,gp*145,gp#189,1,female
Uts_12A_004,gp*140,gp#41,1,female
UTS_15A_054,gp*149,gp#52,1,female
Uts_12A_011,gp*149,gp#153,1,male
Uts_14A_087,gp*140,gp#16,1,male
UTS_16A_008,gp*11,gp#11,1,male
UTS_16A_051,gp*11,gp#41,1,male
UTS_16A_090,gp*11,gp#41,1,male
Uts49,gp*125,gp#11,1,male
Uts_14A_018,gp*125,gp#127,1,male
UTS_15A_047,gp*166,gp#167,1,male
Uts_13A_061,gp*143,gp#52,1,male
UTS_15A_060,gp*143,gp#152,1,male
UTS_15A_065,gp*143,gp#126,1,male
UTS_16A_068,gp*16,gp#52,1,male
UTS_16A_014,gp*16,gp#16,1,male
Uts_14A_100,gp*124,gp#169,1,female
Uts_14A_017,gp*124,gp#126,1,male
UTS_15A_051,gp*167,gp#169,1,male
Uts41,gp*167,gp#16,1,male
Uts_14A_006,gp*119,gp#120,1,male
Uts_14A_056,gp*119,gp#139,1,male
Uts_14A_007,gp*119,gp#67,1,male
UTS_16A_010,gp*13,gp#12,1,male
UTS_16A_054,gp*13,gp#18,1,male
