OffspID,Dam,Sire,DamOrigin,SireOrigin,DamNatalPop,SireNatalPop
Uts_14_0y_0754,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0755,usF2013,Uts_13A_043,NA,local,NA,TenoMainstem
Uts_14_0y_0756,Uts_13A_033,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0758,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0759,Uts_13A_047,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0761,usF2013,Uts_13A_054,NA,local,NA,TenoMainstem
Uts_14_0y_0762,usF2013,Uts_13A_057,NA,local,NA,TenoMainstem
Uts_14_0y_0763,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0764,Uts_13A_065,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0765,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0766,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0767,NA,usM2013,NA,NA,NA,NA
Uts_14_0y_0768,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0769,usF2013,Uts_13A_050,NA,local,NA,TenoMainstem
Uts_14_0y_0770,Uts_13A_039,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0771,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0772,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0773,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0774,Uts_13A_065,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0776,Uts_13A_033,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0777,Uts_13A_033,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0778,Uts_13A_047,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0780,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0781,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0782,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0783,Uts_13A_033,Uts_13A_023,local,local,TenoMainstem,TenoMainstem
Uts_14_0y_0784,Uts_13A_065,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0785,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0786,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0788,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0789,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0790,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0791,usF2013,Uts_13A_055,NA,local,NA,TenoMainstem
Uts_14_0y_0792,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0793,NA,NA,NA,NA,NA,NA
Uts_14_0y_0794,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0795,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0796,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0797,Uts_13A_065,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0798,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0799,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0800,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0801,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0802,usF2013,Uts_13A_055,NA,local,NA,TenoMainstem
Uts_14_0y_0803,usF2013,usM2013,NA,NA,NA,NA
