OffspID,Dam,Sire,DamOrigin,SireOrigin,DamNatalPop,SireNatalPop
Uts_14_0y_1046,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1047,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1048,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1049,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1050,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1051,usF2013,Uts_13A_028,NA,local,NA,TenoMainstem
Uts_14_0y_1052,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1053,Uts_13A_033,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_1054,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1055,Uts_13A_065,NA,local,NA,TenoMainstem,NA
Uts_14_0y_1056,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1057,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1058,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1060,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1061,Uts_13A_037,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_1062,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1063,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1064,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1065,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1066,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_1068,usF2013,usM2013,NA,NA,NA,NA
