"","sire","type","year","class","n.default","n.conserved","n.informed","Sex","BirthYear"
"396","Uts_17A_015","Adult",2017,"adult",41,41,41,2,2010
"397","Uts_17A_016","Adult",2017,"adult",37,37,37,2,2010
"398","Uts_17A_019","Adult",2017,"adult",1,1,1,2,2012
"399","Uts_17A_020","Adult",2017,"adult",4,4,4,2,2013
"400","Uts_17A_021","Adult",2017,"adult",42,42,42,2,2011
"401","Uts_17A_022","Adult",2017,"adult",9,9,9,2,2012
"402","Uts_17A_023","Adult",2017,"adult",40,41,40,2,2012
"403","Uts_17A_027","Adult",2017,"adult",1,1,1,2,2013
"404","Uts_17A_028","Adult",2017,"adult",21,21,21,2,2010
"405","Uts_17A_029","Adult",2017,"adult",9,9,9,2,2012
"406","Uts_17A_030","Adult",2017,"adult",11,11,11,2,2012
"407","Uts_17A_034","Adult",2017,"adult",9,11,9,2,2012
"408","Uts_17A_035","Adult",2017,"adult",23,23,23,2,2007
"409","Uts_17A_036","Adult",2017,"adult",12,12,12,2,2013
"410","Uts_17A_038","Adult",2017,"adult",1,1,1,2,2011
"411","Uts_17A_041","Adult",2017,"adult",4,4,4,2,2011
"412","Uts_17A_042","Adult",2017,"adult",1,1,1,2,2012
"413","Uts_17A_043","Adult",2017,"adult",2,2,2,2,2012
"414","Uts_17A_044","Adult",2017,"adult",27,27,27,2,2010
"415","Uts_17A_048","Adult",2017,"adult",2,2,2,2,2012
"416","Uts_17A_049","Adult",2017,"adult",2,2,2,2,2012
"417","Uts_17A_050","Adult",2017,"adult",18,18,18,2,2011
"418","Uts_17A_051","Adult",2017,"adult",1,1,1,2,2013
"419","Uts_17A_052","Adult",2017,"adult",11,11,11,2,2013
"420","Uts_17A_053","Adult",2017,"adult",26,26,26,2,2011
"421","Uts_17A_054","Adult",2017,"adult",1,1,1,2,2013
"422","Uts_17A_055","Adult",2017,"adult",7,7,7,2,2013
"423","Uts_17A_057","Adult",2017,"adult",61,61,61,2,2012
"424","Uts_17A_058","Adult",2017,"adult",5,5,5,2,2013
"425","Uts_17A_059","Adult",2017,"adult",1,1,1,2,2013
"426","Uts_17A_061","Adult",2017,"adult",6,6,6,2,2011
"427","Uts_17A_062","Adult",2017,"adult",2,2,2,2,2013
"428","Uts_17A_064","Adult",2017,"adult",42,42,42,2,2012
"429","Uts_17A_065","Adult",2017,"adult",1,1,1,2,2012
"430","Uts_17A_067","Adult",2017,"adult",17,17,17,2,2012
"431","Uts_17A_069","Adult",2017,"adult",10,10,10,2,2012
"432","Uts_17A_070","Adult",2017,"adult",11,11,11,2,2012
"433","Uts_17A_071","Adult",2017,"adult",11,10,11,2,2010
"434","Uts_17A_076","Adult",2017,"adult",9,9,9,2,2012
"435","Uts_17A_083","Adult",2017,"adult",5,6,6,2,2012
"436","Uts_17A_084","Adult",2017,"adult",3,3,3,2,2012
"437","Uts_17A_085","Adult",2017,"adult",27,27,27,2,2010
"438","Uts_17A_089","Adult",2017,"adult",14,14,14,2,2013
"439","Uts_17A_097","Adult",2017,"adult",44,44,44,2,2011
"440","Uts_18_0y_1333","Offspring",2018,"0y",1,NA,NA,2,2018
"441","Uts_18_0y_1822","Offspring",2018,"0y",1,NA,NA,2,2018
"442","Uts_18_0y_1899","Offspring",2018,"0y",1,NA,NA,2,2018
"443","Uts_18_1y_1793","Offspring",2018,"1y",1,NA,NA,2,2017
"444","Uts_18_1y_2210","Offspring",2018,"1y",1,NA,1,2,2017
"445","Uts_18_2-3y_1125","Offspring",2018,"2-3y",2,NA,2,2,2016
"446","Uts_18_2-3y_1677","Offspring",2018,"2-3y",1,NA,1,2,2016
"447","Uts_18_2-3y_1816","Offspring",2018,"2-3y",1,NA,NA,2,2016
"448","Uts_18_2-3y_1819","Offspring",2018,"2-3y",1,NA,NA,2,2016
"449","Uts_18A_002","Adult",2018,"adult",4,4,4,2,2014
"450","Uts_18A_006","Adult",2018,"adult",4,4,4,2,2014
"451","Uts_18A_007","Adult",2018,"adult",2,2,2,2,2013
"452","Uts_18A_008","Adult",2018,"adult",2,2,2,2,2013
"453","Uts_18A_009","Adult",2018,"adult",30,30,30,2,2012
"454","Uts_18A_010","Adult",2018,"adult",1,1,1,2,2014
"455","Uts_18A_012","Adult",2018,"adult",10,10,10,2,2014
"456","Uts_18A_013","Adult",2018,"adult",10,10,10,2,2014
"457","Uts_18A_014","Adult",2018,"adult",4,4,4,2,2013
"458","Uts_18A_015","Adult",2018,"adult",5,5,5,2,2013
"459","Uts_18A_017","Adult",2018,"adult",17,17,17,2,2014
"460","Uts_18A_020","Adult",2018,"adult",5,5,5,2,2014
"461","Uts_18A_022","Adult",2018,"adult",4,NA,4,2,2014
"462","Uts_18A_023","Adult",2018,"adult",8,8,8,2,2014
"463","Uts_18A_024","Adult",2018,"adult",1,1,1,2,2014
"464","Uts_18A_028","Adult",2018,"adult",1,1,1,2,2014
"465","Uts_18A_029","Adult",2018,"adult",3,3,3,2,2012
"466","Uts_18A_032","Adult",2018,"adult",1,1,1,2,2014
"467","Uts_18A_033","Adult",2018,"adult",1,NA,1,2,2014
"468","Uts_18A_034","Adult",2018,"adult",1,1,1,2,2013
"469","Uts_18A_037","Adult",2018,"adult",6,6,6,2,2012
"470","Uts_18A_046","Adult",2018,"adult",29,28,29,2,2014
"471","Uts_18A_047","Adult",2018,"adult",26,26,26,2,2013
"472","Uts_18A_049","Adult",2018,"adult",3,3,3,2,2014
"473","Uts_18A_050","Adult",2018,"adult",5,5,5,2,2014
"474","Uts_18A_052","Adult",2018,"adult",14,13,13,2,2012
"475","Uts_18A_053","Adult",2018,"adult",6,6,6,2,2014
"476","Uts_18A_054","Adult",2018,"adult",4,4,4,2,2012
"477","Uts_18A_055","Adult",2018,"adult",1,1,1,2,2013
"478","Uts_18A_056","Adult",2018,"adult",4,4,4,2,2014
"479","Uts_18A_057","Adult",2018,"adult",14,14,14,2,2013
"480","Uts_18A_058","Adult",2018,"adult",2,NA,NA,2,2013
"481","Uts_18A_059","Adult",2018,"adult",10,10,10,2,2010
"482","Uts_18A_062","Adult",2018,"adult",1,1,1,2,2014
"483","Uts_18A_065","Adult",2018,"adult",1,1,1,2,2013
"484","Uts_18A_066","Adult",2018,"adult",10,10,10,2,2013
"485","Uts_18A_068","Adult",2018,"adult",12,12,12,2,2013
"486","Uts_18A_072","Adult",2018,"adult",10,10,10,2,2013
"487","Uts_18A_073","Adult",2018,"adult",1,NA,NA,2,2013
"488","Uts_18A_078","Adult",2018,"adult",1,1,1,2,2012
"489","Uts_18A_081","Adult",2018,"adult",11,11,11,2,2012
"490","Uts_18A_082","Adult",2018,"adult",12,12,12,2,2014
"491","Uts_18A_090","Adult",2018,"adult",6,6,6,2,2013
"492","Uts_18A_091","Adult",2018,"adult",1,1,1,2,2012
"493","Uts_18A_092","Adult",2018,"adult",1,1,1,2,2013
"494","Uts_18A_101","Adult",2018,"adult",4,4,4,2,2013
"495","Uts_18A_104","Adult",2018,"adult",1,1,1,2,2014
"496","Uts_18A_106","Adult",2018,"adult",5,5,5,2,2012
"497","Uts_18A_107","Adult",2018,"adult",1,1,1,2,2013
"498","Uts_18A_108","Adult",2018,"adult",1,NA,NA,2,2013
"499","Uts_18A_110","Adult",2018,"adult",4,4,4,2,2013
"500","Uts_18A_113","Adult",2018,"adult",2,2,2,2,2014
"501","Uts_18A_115","Adult",2018,"adult",4,4,4,2,2014
"502","Uts_18A_122","Adult",2018,"adult",4,3,3,2,2013
"503","Uts_12_0y_482","Offspring",2012,"0y",NA,NA,1,2,2012
"504","Uts_13_0y_0248","Offspring",2013,"0y",NA,NA,1,2,2013
"505","Uts_13_0y_0556","Offspring",2013,"0y",NA,NA,1,2,2013
"506","Uts_13_0y_0616","Offspring",2013,"0y",NA,NA,1,2,2013
"507","Uts_13_0y_0701","Offspring",2013,"0y",NA,NA,1,2,2013
"508","Uts_13_0y_0704","Offspring",2013,"0y",NA,NA,2,2,2013
"509","Uts_13_0y_0968","Offspring",2013,"0y",NA,NA,1,2,2013
"510","Uts_14_0y_0762","Offspring",2014,"0y",NA,NA,1,2,2014
"511","Uts_14_0y_1454","Offspring",2014,"0y",NA,NA,1,2,2014
"512","Uts_15_0y_0426","Offspring",2015,"0y",NA,NA,1,2,2015
"513","Uts_15_0y_0497","Offspring",2015,"0y",NA,NA,1,2,2015
"514","Uts_15_0y_0740","Offspring",2015,"0y",NA,NA,1,2,2015
"515","Uts_15_0y_0754","Offspring",2015,"0y",NA,NA,1,2,2015
"516","Uts_15_0y_0791","Offspring",2015,"0y",NA,NA,1,2,2015
"517","Uts_16_0y_0595","Offspring",2016,"0y",NA,NA,1,2,2016
"518","Uts_16_0y_1138","Offspring",2016,"0y",NA,NA,1,2,2016
"519","Uts_16_0y_1328","Offspring",2016,"0y",NA,NA,2,2,2016
"520","Uts_16_0y_2138","Offspring",2016,"0y",NA,NA,1,2,2016
"521","Uts_17_0y_0679","Offspring",2017,"0y",NA,NA,1,2,2017
"522","Uts_17_1y_2467","Offspring",2017,"1y",NA,NA,1,2,2016
"523","Uts_12_0y_100","Offspring",2012,"0y",NA,1,NA,2,2012
"524","Uts_12_0y_357","Offspring",2012,"0y",NA,1,NA,2,2012
"525","Uts_12_0y_757","Offspring",2012,"0y",NA,1,NA,2,2012
"526","Uts_13_1y_0334","Offspring",2013,"1y",NA,1,NA,2,2012
"527","Uts_13A_035","Adult",2013,"adult",NA,1,NA,2,2007
"528","Uts_15_0y_1659","Offspring",2015,"0y",NA,1,NA,2,2015
"529","Uts_15_1y_0404","Offspring",2015,"1y",NA,1,NA,2,2014
