"","ID","year","date","tag.ID","wt.kg","length.cm","sex","notes.fi","notes.en","notes.KM","dead","recapture","match.ID","Scale.smoltage","scale.seaage","Respawner","notes.FI","notes.ENG","InterpAge"
"682","Uts_18A_107",2018,"2.10.2018","F974",2,59,"M","","","",NA,NA,"",4,1,0,"","",1
"683","Uts_18A_108",2018,"2.10.2018","F975",2.2,61,"M","","","",NA,NA,"",4,1,0,"","",1
"684","Uts_18A_109",2018,"2.10.2018","F976",1.8,59,"M","","","",NA,NA,"",NA,1,0,"reg.","",1
"685","Uts_18A_110",2018,"2.10.2018","F977",2.8,65,"M","","","",NA,NA,"",4,1,0,"","",1
"686","Uts_18A_111",2018,"3.10.2018","F978",2,58,"M","","","",NA,NA,"",3,1,0,"","",1
"687","Uts_18A_112",2018,"3.10.2018","F979",2,60,"M","","","",NA,NA,"",4,1,0,"","",1
"688","Uts_18A_113",2018,"3.10.2018","F980",2,60,"M","","","",NA,NA,"",3,1,0,"","",1
"689","Uts_18A_114",2018,"3.10.2018","F981",2.3,61,"M","","","",NA,NA,"",4,1,0,"","",1
"690","Uts_18A_115",2018,"3.10.2018","F982",1.9,57,"M","","","",NA,NA,"",3,1,0,"","",1
"691","Uts_18A_116",2018,"3.10.2018","F983",2.2,60,"M","","","",NA,NA,"",3,1,0,"","",1
"692","Uts_18A_118",2018,"3.10.2018","F985",1.7,57,"M","","","",NA,NA,"",4,1,0,"","",1
"693","Uts_18A_120",2018,"3.10.2018","F987",2.2,60,"M","","","",NA,NA,"",4,1,0,"","",1
"694","Uts_18A_121",2018,"3.10.2018","F988",2,61,"M","","","",NA,NA,"",NA,1,0,"reg.","",1
"695","Uts_18A_122",2018,"3.10.2018","F989",2,61,"M","","","",NA,NA,"",4,1,0,"","",1
"696","Uts_19A_01",2019,"13.9.2019","F301",1.8,62,"M","","","",NA,NA,"",3,1,0,"","",1
"697","Uts_19A_02",2019,"13.9.2019","F302",3.1,68,"M","","","",NA,NA,"",3,1,0,"","",1
"698","Uts_19A_03",2019,"13.9.2019","F690",11.2,102,"M","Merkitty 2017, Kuoli verkkoon","marked, 2017, died in net","previously marked, Uts17A_020",NA,2,"Uts_17A_020",3,3,1,"kova merikasvu, vrt. koko/ik�","high growth at sea, compare size vs age, seaage should be 3 based on resample",3
"699","Uts_19A_04",2019,"13.9.2019","F303",3.8,74,"M","","","",NA,NA,"",3,2,0,"","",2
"700","Uts_19A_06",2019,"14.9.2019","F305",3.4,66,"M","","","",NA,NA,"",3,1,0,"","",1
"701","Uts_19A_07",2019,"15.9.2019","F306",13.6,111,"M","","","",NA,NA,"",3,3,0,"","",3
"702","Uts_19A_08",2019,"15.9.2019","F307",11.5,98,"M","","","",NA,NA,"",4,3,0,"","",3
"703","Uts_19A_09",2019,"15.9.2019","F308",19.3,119,"M","","","",NA,NA,"",3,NA,0,"ei meri-ik��, suomut pahasti kuluneet","no sea age because badly worn out scales",4
"704","Uts_19A_10",2019,"9/20/2019","F309",9.2,96,"M","","","",NA,NA,"",4,3,0,"","",3
"705","Uts_19A_12",2019,"9/23/2019","F311",8,87,"M","","","",NA,NA,"",3,2,0,"","",2
"706","Uts_19A_14",2019,"9/23/2019","F313",4.5,76,"M","","","",NA,NA,"",3,2,0,"","",2
"707","Uts_19A_15",2019,"9/23/2019","F314",1.7,58,"M","","","",NA,NA,"",4,1,0,"","",1
"708","Uts_19A_16",2019,"9/24/2019","F315",11.9,102,"M","ei rasvaev��","no adipose fin","",NA,NA,"",4,3,0,"","",3
"709","Uts_19A_17",2019,"9/24/2019","F316",2,60,"M","","","",NA,NA,"",4,1,0,"","",1
"710","Uts_19A_18",2019,"9/24/2019","F317",2.5,64,"M","","","",NA,NA,"",3,1,0,"","",1
"711","Uts_19A_19",2019,"9/24/2019","F318",27.4,135,"M","","","",NA,NA,"",4,4,0,"","",4
"712","Uts_19A_20",2019,"9/25/2019","F319",7,88,"M","","","",NA,NA,"",3,2,0,"","",2
"713","Uts_19A_21",2019,"9/26/2019","F320",2.8,65,"M","","","",NA,NA,"",4,1,0,"","",1
"714","Uts_19A_22",2019,"9/26/2019","F321",2.6,63,"M","","","",NA,NA,"",4,1,0,"","",1
"715","Uts_19A_23",2019,"9/27/2019","F322",2.2,62,"M","","","",NA,NA,"",4,1,0,"","",1
"716","Uts_19A_24",2019,"9/27/2019","F323",2.4,64,"M","","","",NA,NA,"",3,1,0,"","",1
"717","Uts_19A_26",2019,"9/27/2019","F325",17.9,117,"M","","","",NA,NA,"",NA,NA,0,"vain 3 suomua, kaikki reg.","only 3 scales",4
"718","Uts_19A_27",2019,"9/27/2019","F326",2.4,64,"M","","","",NA,NA,"",3,1,0,"","",1
"719","Uts_19A_28",2019,"9/28/2019","F327",15.5,104,"M","","","",NA,NA,"",3,NA,1,"varma kutu, meri-ik� ep�varma. Pahasti kuluneet suomut. SW 2-3S1+????","certain respawn, badly worn out scales",3
"720","Uts_19A_29",2019,"9/28/2019","F328",1.6,57,"M","","","",NA,NA,"",3,1,0,"","",1
"721","Uts_19A_33",2019,"10/1/2019","F332",3.8,71,"M","","","",NA,NA,"",4,1,0,"","",1
"722","Uts_19A_35",2019,"10/3/2019","F334",6.2,86,"M","","","",NA,NA,"",4,2,0,"","",2
