id,dam,sire,birth_year,gender
UTS_16A_084,NA,NA,1,male
#70,NA,NA,1,unknown
Uts_14A_002,NA,NA,1,male
*157,NA,NA,1,unknown
UTS_16A_064,NA,NA,1,female
UTS_16A_066,NA,NA,1,male
*336,NA,NA,1,unknown
*39,NA,NA,1,unknown
*84,NA,NA,1,unknown
*150,NA,NA,1,unknown
*3,NA,NA,1,unknown
*395,NA,NA,1,unknown
*378,NA,NA,1,unknown
*27,NA,NA,1,unknown
Uts_14A_061,NA,NA,1,male
#101,NA,NA,1,unknown
*384,NA,NA,1,unknown
*10,NA,NA,1,unknown
*681,NA,NA,1,unknown
UTS_16A_009,NA,NA,1,male
*321,NA,NA,1,unknown
*174,NA,NA,1,unknown
UTS_16A_053,NA,NA,1,male
*21,NA,NA,1,unknown
*7,NA,NA,1,unknown
*130,NA,NA,1,unknown
*30,NA,NA,1,unknown
*425,NA,NA,1,unknown
*25,NA,NA,1,unknown
*33,NA,NA,1,unknown
UTS_16A_029,NA,NA,1,male
*141,NA,NA,1,unknown
*43,NA,NA,1,unknown
*118,NA,NA,1,unknown
#170,NA,NA,1,unknown
#360,NA,NA,1,unknown
*375,NA,NA,1,unknown
*450,NA,NA,1,unknown
*364,NA,NA,1,unknown
*334,NA,NA,1,unknown
*87,NA,NA,1,unknown
*687,NA,NA,1,unknown
*4,NA,NA,1,unknown
#23,NA,NA,1,unknown
UTS_16A_058,NA,NA,1,male
Uts_14A_020,NA,NA,1,male
*482,NA,NA,1,unknown
*694,NA,NA,1,unknown
UTS_16A_041,NA,NA,1,male
Uts_14A_027,NA,NA,1,male
*204,NA,NA,1,unknown
*145,NA,NA,1,unknown
*171,NA,NA,1,unknown
*393,NA,NA,1,unknown
UTS_16A_001,NA,NA,1,male
*75,NA,NA,1,unknown
*682,NA,NA,1,unknown
*5,NA,NA,1,unknown
*36,NA,NA,1,unknown
*149,NA,NA,1,unknown
*201,NA,NA,1,unknown
*613,NA,NA,1,unknown
#331,NA,NA,1,unknown
#30,NA,NA,1,unknown
*326,NA,NA,1,unknown
*317,NA,NA,1,unknown
#24,NA,NA,1,unknown
#190,NA,NA,1,unknown
*12,NA,NA,1,unknown
#61,NA,NA,1,unknown
#262,NA,NA,1,unknown
#118,NA,NA,1,unknown
#249,NA,NA,1,unknown
#67,NA,NA,1,unknown
#16,NA,NA,1,unknown
UTS_16A_091,NA,NA,1,female
*81,NA,NA,1,unknown
#65,NA,NA,1,unknown
#14,NA,NA,1,unknown
#63,NA,NA,1,unknown
UTS_16A_115,NA,NA,1,female
#176,NA,NA,1,unknown
*198,NA,NA,1,unknown
#5,NA,NA,1,unknown
#121,NA,NA,1,unknown
UTS_16A_078,NA,NA,1,male
*709,NA,NA,1,unknown
Uts_13A_009,NA,NA,1,male
#417,NA,NA,1,unknown
UTS_16A_010,NA,NA,1,male
*199,NA,NA,1,unknown
#124,NA,NA,1,unknown
#146,NA,NA,1,unknown
#125,NA,NA,1,unknown
*312,NA,NA,1,unknown
*89,NA,NA,1,unknown
#69,NA,NA,1,unknown
*413,NA,NA,1,unknown
#107,NA,NA,1,unknown
*327,NA,NA,1,unknown
*445,NA,NA,1,unknown
*333,NA,NA,1,unknown
*164,NA,NA,1,unknown
*167,NA,NA,1,unknown
*452,NA,NA,1,unknown
#33,NA,NA,1,unknown
#113,NA,NA,1,unknown
Uts_12A_034,NA,NA,1,male
#391,NA,NA,1,unknown
