         OffspringID             FatherID             MotherID    CloneIndex  ClusterIndex
         UTS_16A_110                gp*79                gp#42           101             7
               Uts01                gp*79               gp#172           328             7
         Uts_13A_041               gp*109               gp#109           156             7
         UTS_16A_005                 gp*8                 gp#8             8             7
         Uts_13A_023                 gp*8               gp#100           141             7
               Uts51                 gp*8                gp#66           372             7
         UTS_16A_025                gp*26                gp#26            28             7
         Uts_13A_053               gp*157               gp#178           375             8
         UTS_16A_064               gp*157                gp#27           383             8
         UTS_15A_025               gp*157               gp#163           282             8
               Uts28               gp*193                 gp#9           429             8
           Uts_11_28               gp*193                 gp#9           429             8
         UTS_16A_034                gp*35                gp#13            37             8
         Uts_14A_089                gp*35               gp#103           233             8
         UTS_16A_026                gp*27                gp#27            29             8
               Uts12                gp*12               gp#178           339             8
           Uts_11_12                gp*12               gp#178           339             8
         UTS_16A_011                gp*12                gp#13            14             8
         UTS_16A_009                gp*12                 gp#9            12             8
         UTS_16A_006                 gp*9                 gp#9             9             8
         Uts_14A_108               gp*188               gp#103           405             8
         Uts_13A_028               gp*106               gp#103           146             8
         Uts_12A_009               gp*106               gp#103           252             8
         Uts_12A_019               gp*106               gp#103           393             8
         UTS_15A_023                gp*64               gp#161           280             9
         UTS_15A_069                gp*64               gp#161           317             9
         UTS_16A_079                gp*64                gp#10            75             9
         UTS_16A_095                gp*64                gp#64            90             9
         Uts_14A_106               gp*115               gp#101           168             9
         UTS_15A_022               gp*115                gp#64           279             9
         UTS_15A_036               gp*162               gp#101           291             9
         Uts_12A_026                gp*87                gp#82           114             9
         UTS_16A_117                gp*40                gp#76           105             9
         UTS_16A_041                gp*40                gp#10            42             9
         UTS_15A_009                gp*40                gp#10           269             9
         UTS_17A_098                gp*40               gp#188           377             9
         Uts_13A_013                gp*70                gp#94           133             9
         UTS_16A_092                gp*70                gp#10            87             9
         UTS_15A_061                gp*70                gp#10           313             9
         Uts_13A_026               gp*104               gp#101           144             9
         UTS_15A_043               gp*104                gp#10           297             9
         UTS_15A_020               gp*104               gp#146           278             9
         UTS_15A_031               gp*158                gp#10           286             9
         UTS_15A_056               gp*158                gp#10           308             9
         UTS_15A_042               gp*165                gp#82           296             9
         UTS_16A_115                gp*10                gp#82           391             9
         UTS_16A_007                gp*10                gp#10            10             9
         Uts_14A_085                gp*10               gp#146           229             9
         UTS_16A_015                gp*10                gp#17            18             9
         Uts_13A_014                gp*99                gp#95           134             9
         UTS_15A_082               gp*141                gp#95           327             9
         Uts_13A_055               gp*141               gp#101           238             9
         UTS_16A_043               gp*145               gp#153           380            10
         Uts_13A_067               gp*145               gp#152           245            10
         Uts_12A_021               gp*145               gp#167           394            10
         UTS_16A_077               gp*145               gp#189           384            10
         Uts_12A_004               gp*140                gp#41           414            10
         UTS_15A_054               gp*149                gp#52           421            10
         Uts_12A_011               gp*149               gp#153           254            10
         Uts_14A_087               gp*140                gp#16           231            10
         UTS_16A_008                gp*11                gp#11            11            10
         UTS_16A_051                gp*11                gp#41            49            10
         UTS_16A_090                gp*11                gp#41            86            10
               Uts49               gp*125                gp#11           370            10
         Uts_14A_018               gp*125               gp#127           185            10
         UTS_15A_047               gp*166               gp#167           301            10
         Uts_13A_061               gp*143                gp#52           241            10
         UTS_15A_060               gp*143               gp#152           312            10
         UTS_15A_065               gp*143               gp#126           315            10
         UTS_16A_068                gp*16                gp#52            65            10
         UTS_16A_014                gp*16                gp#16            17            10
         Uts_14A_100               gp*124               gp#169           404            10
         Uts_14A_017               gp*124               gp#126           184            10
         UTS_15A_051               gp*167               gp#169           305            10
               Uts41               gp*167                gp#16           363            10
         Uts_14A_006               gp*119               gp#120           176            11
         Uts_14A_056               gp*119               gp#139           209            11
         Uts_14A_007               gp*119                gp#67           257            11
         UTS_16A_010                gp*13                gp#12            13            11
         UTS_16A_054                gp*13                gp#18            52            11
         UTS_16A_099                gp*73                gp#67            93            11
               Uts15               gp*175                gp#12           342            11
           Uts_11_15               gp*175                gp#12           342            11
               Uts45               gp*181                gp#67           367            11
               Uts53                gp*13               gp#186           434            11
           Uts_11_53                gp*13               gp#186           434            11
               Uts40               gp*181               gp#186           362            11
           Uts_11_40               gp*181               gp#186           362            11
         Uts_14A_052               gp*134               gp#120           207            11
         UTS_15A_018                gp*17               gp#160           276            11
         UTS_16A_016                gp*17                gp#18            19            11
               Uts18               gp*178                gp#12           345            11
           Uts_11_18               gp*178                gp#12           345            11
         Uts_13A_045               gp*187               gp#160           403            11
         UTS_15A_021               gp*187               gp#197           417            11
         Uts_13A_027               gp*105               gp#102           145            12
         Uts_14A_102               gp*105               gp#112           164            12
         UTS_16A_012                gp*14                gp#14            15            12
         Uts_14A_062                gp*14               gp#112           408            12
         Uts_13A_042                gp*14                gp#65           157            12
         UTS_16A_097                gp*72                gp#65            91            12
         Uts_13A_003                gp*94                gp#65           125            12
         Uts_14A_023               gp*127                gp#75           189            13
         Uts_14A_040                gp*62                gp#15           200            13
         UTS_16A_075                gp*62                gp#57            72            13
         Uts_14A_058                gp*62                gp#57           259            13
         UTS_16A_013                gp*15                gp#15            16            13
               Uts47               gp*183               gp#128           368            13
         Uts_14A_026                gp*82                gp#15           191            13
         Uts_14A_070                gp*82                gp#15           219            13
         UTS_16A_114                gp*82                gp#75           104            13
         Uts_14A_020                gp*82               gp#128           187            13
         UTS_16A_081                gp*19                gp#59            77            14
         Uts_13A_044                gp*48               gp#181           402            14
               Uts29                gp*19               gp#200           430            14
           Uts_11_29                gp*19               gp#200           430            14
         UTS_16A_018                gp*19                gp#20            21            14
         UTS_16A_055                gp*48                gp#20            53            14
         Uts_13A_024                gp*48                gp#20           142            14
         UTS_17A_096               gp*185                gp#20           376            14
         Uts_13A_002                gp*48                gp#90           124            14
         Uts_13A_010                gp*48                gp#90           131            14
               Uts44               gp*182                gp#28           366            14
         UTS_16A_027                gp*28                gp#28            30            14
               Uts38                gp*28                gp#20           361            14
         Uts_13A_030               gp*107                gp#90           148            14
               Uts50               gp*184               gp#181           371            14
         Uts_13A_066               gp*190                gp#28           412            14
               Uts21               gp*174               gp#181           348            14
           Uts_11_21               gp*174               gp#181           348            14
               Uts42               gp*174                gp#28           364            14
           Uts_11_42               gp*174                gp#28           364            14
               Uts09               gp*174               gp#177           336            14
           Uts_11_09               gp*174               gp#177           336            14
         UTS_16A_019                gp*20                gp#21            22            15
               Uts24                gp*20               gp#182           350            15
           Uts_11_24                gp*20               gp#182           350            15
               Uts22                gp*20                gp#68           428            15
         Uts_13A_043               gp*110                gp#21           158            15
         UTS_16A_100                gp*74                gp#68            94            15
         UTS_16A_038                gp*37                gp#21            39            15
               Uts16               gp*176               gp#180           343            15
         Uts_12A_030               gp*176                gp#68           396            15
         Uts_12A_014                gp*83                gp#77           106            16
         Uts_14A_088                gp*83                gp#85           232            16
         UTS_15A_059                gp*83               gp#170           311            16
         UTS_15A_055               gp*192               gp#104           422            16
         Uts_12A_032                gp*33                gp#85           118            16
         UTS_16A_032                gp*33                gp#24            35            16
         Uts_14A_053                gp*33               gp#104           208            16
         Uts_13A_031               gp*108               gp#104           149            16
         Uts_14A_027                gp*23                gp#85           192            16
         UTS_16A_022                gp*23                gp#24            25            16
         UTS_16A_023                gp*24                gp#25            26            17
         Uts_14A_050                gp*24               gp#150           407            17
         UTS_16A_111                gp*80                gp#49           102            17
         Uts_14A_024                gp*80               gp#176           406            17
         UTS_16A_040                gp*39                gp#35            41            17
         Uts_13A_057                gp*39               gp#150           240            17
               Uts05               gp*173               gp#175           332            17
           Uts_11_05               gp*173               gp#175           332            17
               Uts08               gp*173               gp#176           335            17
           Uts_11_08               gp*173               gp#176           335            17
