offspring,microsat_dam,microsat_sire,snp_dam,snp_sire
UTS_15_0Y_0113,NA,NA,id_miss,id_miss
UTS_15_0Y_0114,NA,NA,id_miss,id_miss
UTS_15_0Y_0115,NA,NA,id_miss,id_miss
UTS_15_0Y_0116,NA,NA,id_miss,id_miss
UTS_15_0Y_0117,NA,NA,id_miss,id_miss
UTS_15_0Y_0118,NA,NA,id_miss,id_miss
UTS_15_0Y_0119,NA,NA,id_miss,id_miss
UTS_15_0Y_0120,NA,NA,id_miss,id_miss
UTS_15_0Y_0121,NA,NA,id_miss,id_miss
UTS_15_0Y_0122,NA,NA,id_miss,id_miss
UTS_15_0Y_0123,NA,NA,id_miss,id_miss
UTS_15_0Y_0124,NA,NA,id_miss,id_miss
UTS_15_0Y_0125,NA,NA,id_miss,id_miss
UTS_15_0Y_0126,NA,NA,id_miss,id_miss
UTS_15_0Y_0127,NA,NA,id_miss,id_miss
UTS_15_0Y_0128,NA,NA,id_miss,id_miss
UTS_15_0Y_0129,NA,NA,id_miss,id_miss
UTS_15_0Y_0130,NA,NA,id_miss,id_miss
UTS_15_0Y_0131,NA,NA,id_miss,id_miss
UTS_15_0Y_0132,NA,NA,id_miss,id_miss
UTS_15_0Y_0133,NA,NA,id_miss,id_miss
UTS_15_0Y_0134,NA,UTS_14A_091,id_miss,id_miss
UTS_15_0Y_0135,NA,NA,id_miss,id_miss
UTS_15_0Y_0136,NA,NA,id_miss,id_miss
UTS_15_0Y_0137,NA,NA,id_miss,id_miss
UTS_15_0Y_0138,NA,NA,id_miss,id_miss
UTS_15_0Y_0139,NA,NA,id_miss,id_miss
UTS_15_0Y_0140,NA,NA,id_miss,id_miss
UTS_15_0Y_0141,NA,NA,id_miss,id_miss
UTS_15_0Y_0142,NA,NA,id_miss,id_miss
UTS_15_0Y_0143,NA,NA,id_miss,id_miss
UTS_15_0Y_0144,NA,NA,id_miss,id_miss
UTS_15_0Y_0145,NA,NA,id_miss,id_miss
UTS_15_0Y_0146,NA,NA,id_miss,id_miss
UTS_15_0Y_0147,NA,NA,id_miss,id_miss
UTS_15_0Y_0148,NA,NA,id_miss,id_miss
UTS_15_0Y_0149,NA,NA,id_miss,id_miss
UTS_15_0Y_0150,NA,NA,id_miss,id_miss
UTS_15_0Y_0151,NA,NA,id_miss,id_miss
UTS_15_0Y_0152,NA,NA,id_miss,id_miss
UTS_15_0Y_0153,NA,NA,id_miss,id_miss
UTS_15_0Y_0154,NA,NA,id_miss,id_miss
UTS_15_0Y_0155,NA,NA,id_miss,id_miss
UTS_15_0Y_0156,NA,NA,id_miss,id_miss
UTS_15_0Y_0157,NA,NA,id_miss,id_miss
UTS_15_0Y_0158,NA,NA,id_miss,id_miss
UTS_15_0Y_0159,NA,NA,id_miss,id_miss
UTS_15_0Y_0160,NA,NA,id_miss,id_miss
UTS_15_0Y_0161,NA,NA,id_miss,id_miss
UTS_15_0Y_0162,NA,NA,id_miss,id_miss
UTS_15_0Y_0163,NA,NA,id_miss,id_miss
UTS_15_0Y_0164,NA,NA,id_miss,id_miss
UTS_15_0Y_0165,NA,NA,id_miss,id_miss
UTS_15_0Y_0166,NA,NA,id_miss,id_miss
UTS_15_0Y_0167,NA,NA,id_miss,id_miss
UTS_15_0Y_0168,NA,NA,id_miss,id_miss
UTS_15_0Y_0169,NA,NA,id_miss,id_miss
UTS_15_0Y_0170,NA,NA,id_miss,id_miss
UTS_15_0Y_0171,NA,NA,id_miss,id_miss
UTS_15_0Y_0172,NA,UTS_14A_091,id_miss,id_miss
UTS_15_0Y_0173,NA,UTS_14A_064,id_miss,id_miss
UTS_15_0Y_0174,UTS_14A_018,NA,id_miss,id_miss
UTS_15_0Y_0175,NA,NA,id_miss,id_miss
UTS_15_0Y_0176,NA,NA,id_miss,id_miss
UTS_15_0Y_0177,NA,NA,id_miss,id_miss
UTS_15_0Y_0178,NA,NA,id_miss,id_miss
UTS_15_0Y_0179,NA,NA,id_miss,id_miss
UTS_15_0Y_0180,NA,NA,id_miss,id_miss
UTS_15_0Y_0181,NA,NA,id_miss,id_miss
UTS_15_0Y_0182,NA,NA,id_miss,id_miss
UTS_15_0Y_0183,NA,NA,id_miss,id_miss
UTS_15_0Y_0184,NA,NA,id_miss,id_miss
UTS_15_0Y_0185,NA,NA,id_miss,id_miss
