"row1","row2","ID1","ID2","Mismatch","SnpdBoth","LLR"
18036,18077,"Uts_19_2-3y_0897","Uts_19_2-3y_1137",0,168,23.7483308281818
15325,18036,"Uts_18_1y_1642","Uts_19_2-3y_0897",0,166,23.5832061486802
15325,18077,"Uts_18_1y_1642","Uts_19_2-3y_1137",0,166,23.5832061486802
15132,18096,"Uts_18_1y_0802","Uts_19_2-3y_1429",0,167,23.5804733218773
13220,13247,"Uts_17_1y_2444","Uts_17_1y_2472",0,163,23.4661020438814
8598,15728,"Uts_16_0y_0625","Uts_18_2-3y_0181",0,161,23.4490356405915
15126,17957,"Uts_18_1y_0452","Uts_19_2-3y_0191",0,165,23.3854101889151
10932,18017,"Uts_17_0y_0278","Uts_19_2-3y_0663",0,168,23.3455338978368
13464,17638,"Uts_18_0y_0058","Uts_19_1y_0173",1,165,23.1584665294928
215,424,"Uts_14A_058","Uts_16A_075",1,167,23.0751268692738
500,2947,"Uts_17A_034","Uts_13_1y_0458",0,166,23.0631430859864
8675,13039,"Uts_16_0y_0702","Uts_17_1y_1774",1,166,22.9581696208039
241,437,"Uts_14A_084","Uts_16A_088",0,164,22.8812355070216
14995,17924,"Uts_18_0y_2348","Uts_19_1y_2281",0,154,22.7761404882811
13103,15786,"Uts_17_1y_1914","Uts_18_2-3y_1808",0,139,21.6477829261451
15390,17611,"Uts_18_1y_1773","Uts_19_1y_0054",0,158,21.5642366321319
11437,15492,"Uts_17_0y_1036","Uts_18_1y_2080",0,147,21.4225236997611
11481,17605,"Uts_17_0y_1089","Uts_19_1y_0048",1,163,20.4324228266694
